fra	nnb
Normalement je paye en carte de crédit plutôt qu'en liquide.	Ngalhiha nakarata omomwanyenda werilhiha olumbuka.
« Eh bien, Dieu merci, les œufs frais avec lesquels vous l'avez bombardé ne sont pas rouges ! Autrement, il aurait cru que vous l'aviez blessé ! »	« Ehe, Nyamuhanga wasingya, amayay'aghothulhya muhutayamo  siwengwindisi ! Hatia, anganalengekenie ngamwamamwitir'ekironda ! »
Personne n'est responsable du crash de Wall Street. Personne n'a organisé la spéculation qui l'a précédée. Tous deux sont le fruit du libre choix et de la décision de centaines de milliers d'individus.	Sihalhi mundu oyulhi oko nzuko eyekisida ekye Wall Street. Sihalhi mundu oyulhya lhenga eribughabugha embere kibye. Aboshi babiri bakalwir'oko ebyerisombola bweghubweghu nobulhengekania bwabandu banzi.
Quand tu as une attitude positive, tu cherches des solutions aux problèmes que tu peux gérer, et tu ignores les choses qui sont hors de ton contrôle.	Omughul'ukabya nemiber'eyuwene, ukasondaya emilond'oko mbanza esyowangana soha, neribirirwa ebindu ebiri halhi oko byoghukatheghaya.
"En signant le traité de Tripoli en 1796, notre second Président John Adams écrivit : ""Les États-Unis n'ont en eux-mêmes aucun caractère d'inimitié à l'encontre des lois, de la religion ou de la tranquillité des Musulmans."	"Omwihira esisembo syokokibab'ekyeTripoli oko mwaka wekighonye kighuma maghana irinda makumi mwenda nendathu, omusondolhia wethu owakabiri John Adams mwasak'athi : ""Obughuma bwe bihugho sibuwithe ibubwenebwene obwira oko bulhi obwemighambo, eyekisomo kuts'eyerithekana ryabashilamu."
Des fois, il rigole de ses propres conneries.	Kanzikanzi, akaseker'olutseghetseghe lwiwe.
Dans des temps difficiles comme ceux-là, aucun effort ordinaire ne peut sortir notre entreprise du rouge.	Omondambi esikalhire ngesyo, sihalhi akaghal'akangalw'omo mubiri owakayiwako.
Un bébé, c'est adorable.	Omwana, niwerihalamba.
Si j'utilise le français pour parler philosophie, je deviens folle.	Namabikolhesy'eki franza eribugha ekifilosofia, ngalunabya musire.
Un major est au-dessus d'un capitaine.	Omu majoro alhi endatha syomukapitene.
Ben il est marrant, lui ! Il avait qu’à être là à l’heure, s’il voulait qu’on l’emmène.	Ughessa, atsandenie iye ! Angasire oko ndambi, amabya inyalwe anzire ibamuheka.
Vous avez reçu un choc important.	Moghuka huthala kutsibu.
Les gardiens de prison seront en grève pendant trois jours à partir de minuit.	Abatsamu abomulhiki bakandiasa oko mibiri omo biro bisathu eritsuk'oko saa sita yekiro.
J'ai finalement compris ce que tu essayais de me dire.	Mongasala nowa ebyoghulwe ukasonda erimbwira.
Si tu n'arrêtes pas d'essayer, tu feras des progrès.	Ghuthitaghusa erilhenga, ukandisyakol'emyatsi minene neriloly'emuliro.
Les villageois étaient convaincus que la série de meurtres était liée à un culte satanique.	Abanyamulhongo babya balhighire ngok'obwithi obulhia kwamirira bwabya bulhi oko mulhimu.
Attends une seconde, je reviens tout de suite. Ne raccroche pas !	Lhinda hake, ngasa hathia hathia. Isiwathwa !
L'important, ce n'est pas l'université où tu as obtenu ton diplôme, mais ce que tu as appris lorsque tu y étais.	Ekikulu, sikyekiyiro kikulu ekyoghulhia somerakyo nerisangirak'erip̧olóme, alhiw'ebyowigha omughulu wabyayo.
Le temps passé ne reviendra jamais; personne ne connaît l'avenir.	Endambi eyabiri laba siyendisyasyasa; sihalhi oyo wasi ebikasa.
C'est un chien qui rencontre un crocodile. Le crocodile dit au chien : - Salut, sac à puces ! Et le chien lui répond : - Salut, sac à main !	Nindeghethegh'eyikasangan'amámba. Amámba mwabira endeghetheghe athi : -kuthi, isaho yebilhoko ! Nerio Endeghetheghe moya musubirya : -kuthi, isaho yomobyala !
Ma montre coûte moins que la tienne.	Akaghanza buthuku kaghe kalaghula luke kulheng'akaghu.
À mon premier cours de C, je n'arrivais pas à comprendre le moindre truc en classe. Dieu merci j'ai obtenu d'un ami programmeur qu'il m'explique comment tout le machin fonctionnait.	Okorikangiriryaryaghe ryerimbere erye C, monyithowa nekindu nekiguma omokalhasi. Omunyambyani asingya nabirisung'ekihand'ekyakatheghekeranaya akambwira ebyuma byosi ngabikakola bithi.
Annie est brune et Madeleine blonde.	Annie nimweru na Madeleine mwiraghulu.
Il éprouvait la jouissance intime de l’homme qui, après une longue attente, voit enfin luire les premiers rayons du bonheur désiré.	Abya isyawithe obutseme obomundu oyo, enyuma syerilhindirira rinzi, akalangir'emisakal'eyikabangabasanaya oko butseme obusoghirwe.
Autant l'amour est aimable dans le cœur des jeunes gens, autant il est inconvenant dans celui qui a passé la fleur de l'âge.	Kungaho olwanzo lukanzawa omo muthima ya bandu, kungaho lulhinga silulhighirawa okolhia oyowabiri labukirania omo miaka yeriwa.
Thomas est un mec super sympa avec qui traîner.	Thomas ni mulumuna oyo mundu anga bundabunda naye.
Le sport peut apporter de la joie, il peut libérer l'esprit et il peut embellir la vie.	Erikakya emiki ryangalheth'obutseme, nerihuluky'amalhengekania nerihambia eribyagho.
Il faut traduire, commenter, publier, imprimer, réimprimer, clicher, stéréotyper, distribuer, crier, expliquer, réciter, répandre, donner à tous, donner à bon marché, donner au prix de revient, donner pour rien, tous les poètes, tous les philosophes.	Kumb'iwabindula, nerikania bulhi, erilaghalaghania, erilusya, erighaba, erilaka, erihula, neriha abosi, neriha oko hithalhi hia hisi, erih'akathalhi kerisubula, erihabusa, abaka kol'esika ghulawamo poemes, aba filosofe bosi.
Il n'écoute que des groupes rock des années cinquante.	Akahulhikirira risa ekikumula ekye rock ekyoko miaka makumi athanu.
Regardez ailleurs une minute ! Je vais vite me changer.	Lhebay'ahandi omo rithondi righuma ! Ngaya yihendula luba.
J'aurais peut-être laissé plus d'espace sur la gauche, dans la direction du regard du modèle.	Nangasighirehomwanya oko malhembe, ebyanga eyilhebiry'ekye  rilheberiako.
Saute sur la créature pour la tuer.	Uthwekika kyoko kihangikwa erithakyo.
Dave est le nageur le plus rapide parmi mes camarades de classe.	Dave nimughendi ghomomaghetse nakandi mwangu okobenzi biwe bomokiyiro.
Ce n'est pas l'espèce la plus forte, qui survit, ni la plus intelligente, mais la plus réactive aux changements.	Simuhand'owakalhire owakasya banika, kuts'owawithe obwenge, alhiwe owakakol'okomabindulhikania.
Nous essayons tous d'être ce qu'aucun d'entre nous ne pourrait être, sauf quand certains d'entre nous seraient ce que le reste désirait.	Thukalheng'eribya ngok'obulhi mughuma ghomwithwe syangabere, erilusyak'omughulu abaghuma baghum'abomwithwe bangathubereko ekyo abaghuma balwe basondire.
J'avais peur de poser des questions car je ne voulais pas avoir l'air idiote.	Nabya ngwir'obuba eribulhi'amabulhyo busana sinabianyanzir'eribyangho mukiru.
Le charme romantique de l'espace vit toujours en certains d'entre nous.	Ekiseng'ekye myatsi kine omo baghuma baghum'abomwithwe.
Le docteur a contrôlé le rythme cardiaque du patient et sa pression artérielle.	Omudokotere mwakalhebaya emipikir'eyomuthima womulwere nolulhengo lwerisisira.
Dieu me garde contre mes amis; en ce qui concerne mes ennemis, je m'en charge moi-même.	Omunyambiani akanyitheghaya oko bira baghe, oko bilhebiry'esyonzighu syaghe, ngandinyambiasyo injuwene.
Je me demandais juste quelles langues tu parles.	Nyilwe ngayibulhya nga ukabugha mibugheki.
La surcharge rendant la possession des terres onéreuse, l'humble propriétaire abandonna son champ, ou le vendit à l'homme puissant; et les fortunes se concentrèrent en un moindre nombre de mains.	Ebyeri kola lheka erimia ekithaka iryakola, namol'omunye ririma mwalhekario, kutse mwaghulyary'oko mulume oyukalhire; nobutheke mubyayikumira omo kighanza ekyebyala.
Il a été chargé d'une mission top secrète.	Mubaka muha omubiri owesyokumbo.
Clark dit qu'il n'oubliera jamais de travailler chez l'un des présidents les plus vénérés des États-Unis.	Clark athi syendisibirirwa nahake erikolhera ohogho mukulu ogho lukengerwa oghobughuma bwebihugho byebuamerika.
Veuillez attendre, car vous serez transporté chez vous en ambulance.	Ubyenerilhinda, busan'ukandi hekerwa ewaghuyomo ngurubani yabakoni.
Tante Kelly nous a invités aujourd'hui pour déguster de la glace.	Songalhi Kelly mwakathubirikirako munabwire eribya itwanga naghonza oko bwasoma obwamatsuku.
Une minute correspond à soixante secondes.	Ekithondi kighuma nibughuma bwehitswe makumi ndathu.
En 2006, la revue Business Week a déclaré le Bhoutan comme le pays le plus heureux d'Asie et le huitième plus heureux du monde, selon une enquête réalisée par l'université de Leicester en 2006 appelée « Carte du Bonheur ».	Oko mwaka 2006, ekithabu ekikahulawamo Business Week mokikakangaya Bhoutan ngekihugho ekitsemire omo Azia yosi nakandi nikihugho ekyomunani omo kihugho kyosi, erikwamana nomurorotsy'owalyakolawa nekiyiro ekye Leicester oko mwaka 2006 owabirikirawamo « Karite oko butseme ».
Tenez le bébé doucement.	Wath'oko mwana rioloriolo.
Cela se voit sur son visage qu’il plaisante.	Ekyokikalangirik'oko busu bwiwe kwakatsanga .
Quelque grande que puisse être la chaleur de l'été, il est incivil de paraître devant qui que ce soit les jambes nues, la poitrine, l'estomac et le cou découvert.	Mwalhi ekihuhanya niki nene kithi, sibyanga thokekana omughulu eribya  isyambithe, ekikuba, ekihu, nebikya bikabya isibiswikire.
Je suis horriblement occupée parce que la date limite de remise du rapport approche.	Nyihathathene busana ekiro ekyerithekam'oroporo kikahika.
La confiance de l'innocent est le meilleur levier du menteur.	Amaha ghomundu oyobakalegha, nikithigho kibuya ekyo mubehi.
La rentrée sociale se fera la deuxième semaine du mois de septembre.	Akalhasi kakasyasubir'oko yenga eyakabiri oko mukera ghomwenda.
L'année dernière je vivais à Sanda City.	Oko mwaka awalaba, nabya e Sanda City.
Ce soir encore, je suis Charlie, je suis flic.	Omorighologholo rino nyiri Charlie, nyiri mu anere.
Si vous reculez, vous ne ferez pas d'affaires.	Wanabisub'enyuma, siwendisya kola kindu.
L'alphabet kurde se compose de trente-et-une lettres : a, b, c, ç, d, e, ê, f, g, h, i, î, j, k, l, m, n, o, p, q, r, s, ş, t, u, û, v, w, x, y, z.	Olufabe olwe kurde luwithe ebisako makumisathu nekighuma : a,b,c,d,e,ê,f,g,h,I,î,j,k,l,m,n,o,p,q,r,s,t,u,û,v,w,x,y,z.
En présence d'étrangers, cette épouse est un ange, avec son mari c'est un véritable démon.	Embere syabehihya, omukalhi oyu nimumalaika, nibawiwe nimulhimu wekwenene.
Finalement, il fut décidé que les magasins seraient équipés de caméras de surveillance.	Okondulhya, mokyaya bughika ebisenge ebyo buhingania byangabere nebyumano ebyobutheya.
Merci d'arriver au moins quinze minutes avant le début de la rencontre.	Wasingya erihika omo mathondi ikumi nithanu embere olukuratho luhike.
Hugo a couché le bébé sur une couverture.	Hugo mwaka ghotseraya omwana yoko bulhingithi.
Le voleur ou l'arnaqueur qui a amassé une grande fortune par ses méfaits a de meilleurs chances que le petit voleur d'échapper aux pénalités rigoureuses de la loi.	Omukurungu oyulhya kumakuma obutheke omo bitswatswa bwiwe awithe emiyisa kulaba omuhunguri muk'eribala oko misuyiro eyo mughambo.
Je n'arrive pas à croire qu'il ait eu les couilles de demander une augmentation de salaire au patron.	Sinyithalhigha kwangabere erisaba enzwere yiwe eryeruka oko mugaga wiwe.
Le conservateur du musée voulait que la peinture égyptienne soit prise en sandwich entre deux épaisses plaques de plexiglas.	Oyukabik'obutheke abyanzir'eranzi eyabanya egypte iyimibwa mo eyobakahulamo sandwich omokathi kebibenete bibisi.
Elle savait que sa réaction avait été stupide.	Abya inyasikobulhengekania bwiwe sibulhi loko.
J'ignorais vraiment que vous aviez ce sentiment.	Sinabya nasi koghuna with'engumbweyo.
Comme vous le savez, nous nous sommes réunis ici pour fêter mon anniversaire.	Ngoko munasi, motukasya sangana hano erisya sendebelha busana neribukeributhwa ryaghe.
Un an a passé depuis qu'elle est venue ici.	Omwakamughuma amabihwa erilw'ahikireno.
OK, ça maintenant ! La combinaison de ceci et ça pourrait être vachement sexy !	 Ok, ekyo lhino ! Erisangania ebi nabirya bikandibya ibyamabya luseso !
L'officier de police de service sentit un vieil homme s'approcher derrière lui.	Omukulu ogho bupolishi mowa omusyakulu akaseghera enyuma siwe.
On peut mettre en doute le fait qu'une personne sache communiquer dans plus de cinq langues différentes et en lister pourtant onze sur son profil.	Hanganabi'erithikathika oko mundu eriminya erighambulhirana omo mibughe hakuhi ithanu eyighabaghabene kandi iniana sakire hakuhi mibughe ikumi nomughuma oko kibenete kiwe.
Hélénus, méditant ces mystères profonds, / de sa tête sacrée abaisse les festons, / présente à Jupiter un pompeux sacrifice, / implore d'Apollon la bonté protectrice, / me conduit dans son temple, et me dit :	Helénus, abya iniane mulhengekania oko bithikothiko biwe,/ okomuthwe mubuyirire wiwe rokomikehere yebisendebelhe,/ mwaherere Jupiter yobuhere obusikire,/ musabe Apollon yo bubuya bobutheya,/ akandwala omobúhíma bwiwe, amambwir'athi :
Il traîne à l'arrière ou il court devant. Parfois, il marche un petit moment à nos côtés; le bonheur.	Akabulhir'enyuma kutse akathibith'embere. Kanzikanzi, akaghenda hake nethu; obutseme.
Martin Luther King Junior avait convaincu les citoyens noirs de manifester pacifiquement.	Martin Luther King Junior mwalhighisy'abahimbani biraghulu eriyibaghala butsira wahawaha.
C'est ce petit détail qui m'a mis la puce à l'oreille, sinon je ne l'aurais jamais su.	Hyehinduhik'ehyo hyohirya hira ekilhoko kyomokuthu kwaghe, bithebithya sinabya endiminyakyo.
Je devine à ton visage que tu as de bonnes nouvelles.	Ngaminyerera oko busu bwaghu ngoko ulhi nomwatsi mubuya.
« Je pense que vous feriez un joli couple. » « Hein ?! »	« Ngalhengekania mwangabere babuthi obuwene. » « Hein ?! »
Les examens de la mi-semestre auront lieu dès la semaine prochaine. Bachoter la veille ne t'avancera à rien, et il n'y a que des questions impossibles. Alors commence dès maintenant à bosser.	Ekinzamen kyomokathikathi kikasyabya oko yenga eyikasa. Bachoter omukekulu syangakuloly'embere yokokindu, nakandi hakiri mabughe ngawanay'awakalire. Neryo hathia tsuka eritumika.
Le fait que la sagesse vienne avec les années ne soit voit pas, avant que la sagesse et les années aient déjà passé.	Eribya omwenge bukasa ne miaka sibulangira, embere obwenge nemiaka yibye yalabire.
Rachel Corrie était une Américaine qui a été tuée à Gaza.	Rachel Corrie abia muny'amerika oyowithawa e Gaza.
« Tu ne me reconnais pas ? Je suis Ethan. » « Ethan ! Bien sûr ! Pourquoi ne t'ai-je pas reconnu tout de suite ? »	« Sighuthasya niminya? Indi Ethan. » « Ethan ! Kwenene ! Busanaki monyithithalu ngakuminya ahonaho ? »
Rockefeller a été gouverneur de New York.	Rockefeller mwabya kafurnali owe New York.
Chut...vous parlez trop fort.	Bolobolo... mukabugh'omo mulhenge  mulhi.
Il a donné à la police un faux nom et une fausse adresse.	Mwakah'abapolishi berin'erithowene nerikangiriabo enyumb'eyithowene.
Je suis désolé de te créer tous ces soucis.	Nganyir'eribya inamabikulhether'amalhengekani'ayo.
« Tu m’en donnes un bout ? » « D’accord, on fait moitié-moitié. »	« wanamambako kaghuma ? » « Kobine, thukayira mokitswe. »
Il m'a dit que, quoi qu'il puisse arriver, il y était préparé.	Mwakambwir'athi, mwalhi ekyosikyosi kyangasa, abya inyanayitheghekerenie.
Es-tu plutôt à la recherche d'une autre fonction dans l'informatique ? N'hésite alors pas à prendre contact, de manière à ce qu'un de nos consultants puisse vous aider dans votre recherche d'un poste intéressant.	Ukasonday'oghundi mubiri omo byebisengula ? Sighuthikethik'erighambulhiran'oko luleng'olomwathikya wethu anganakuwathikya omo misondio yaghu.
"Comment dit-on ""good bye"" en allemand ?"	"Bakabugha bathi e ""usighale yambo"" omo ki Allemand ?"
Comment peut-on attendre d'une femme qu'elle soit heureuse avec un homme qui insiste pour la traiter comme si elle était un être humain parfaitement normal ?	Bangalhindira bathi oko mukalhi eriby'angatsema nomulume oyukahathikana erikukola ngomundu oyuluyirene?
D'après les résultats des tests, il paraît évident que la première solution est la meilleure.	Erikwamana nebighuma ebye misondo, bikabya ngolulondo lwerimbere nilubuya.
J'aime mieux être un météore superbe, chacun de mes atomes rayonnants d'un magnifique éclat plutôt qu'une planète endormie. La fonction de l'homme est de vivre non d'exister.	Nyanzire kundu inabia mundu oyukalhebay'ebithuthimbireko, obulhi nusu yoko bitsuko yika kangabasania kulhenga ngekihugho. Omubiri oghomundu nibyaho butsira eriyihanganira.
Il me disait qu'en juin, il irait en France.	Abyakambwira ngok'oko mukera owobwişeghesa, angayir'ebufranza.
Je croyais que tu aimais apprendre de nouvelles choses.	Nabia ngalhengekania ngawabia wanzir'erigha ebihia bihia.
Re !	Re !
Je t'en supplie, écoute ce que j'ai à te dire jusqu'au bout avant de piquer une crise sur moi.	Ngakulhembalhemba, hulhikirera ebyongasond'erikubwir'embere unyiholhereko.
Le New York Times vérifie sa galerie tout le temps.	E New York Times yikalhebaya ekikumo kyakyo okobulhi ndambi.
Afin que ta phrase paraisse naturelle, il ne suffit pas que tu parles la langue que tu écris, il faut que tu saches écrire.	Okondulhia mwalhi omulondo waghu akabya nganiwahinisi, sighuhwere eribugha omubughe oghouka saka, alhiwe iwaminya erisakagho.
Dégagez, les gamins !	Mughende, bana !
Tu auras beau essayer, tu ne seras pas capable de finir ça en un jour.	Wangathasyalhenga, siwendithok'eribugha eki kyokokiro kighuma.
Voila une bouteille de vin blanc que j'ai apportée pour nous.	Eno nitsú̧pâ eyomunzenze womusohe eyonyiryabalhethera.
J'ai l'impression que quelqu'un surveille mes faits et gestes.	Ngalhengekania ngomundu anemulhebya ebiosi ebyongakola.
Ce qui rend malheureux en amour, c'est moins de ne pas être aimé quand on aime, que d'être encore aimé quand on n'aime plus.	Ekikalhetha obuhanya omolwanzo ryeribya isighulhanzwa, omughulu wanzire, kulhenga kwerianzwa omughulu siwathasyanza.
Rentrez votre chemise dans votre pantalon !	Subay'ekisomeko kyaghu kyomo mbalhe!
Sa reprise de « All along the watchtower » en hommage à Jimi Hendrix a laissé les fans sur leur faim.	Erisubira riwe erye « All along the watchtower » erikenga Jimi Hendrix mwakasigha abahani bomonzala.
Ce n'est pas immoral pour un romancier de mentir. Au contraire, plus les mensonges sont gros et habiles, et plus les gens du peuple et les critiques vous louangeront.	Silolo okomusaki webithabu eritheba.  Alhiwe, kalhenzyo amabehi akabya manzi, nakalenzyo abandu bakandikwimbako.
Cela se voit sur son visage qu’il ment.	Ekyo kikalukyalangirik'oko busu bwiwe ngok'akatheba.
Un tel est mort. Pourquoi irai-je à son enterrement puisque, j’en suis certain, il n’ira pas au mien ?	Lhebe abiri hola. Busanaki ngandiy'oko eritabalibwa riwe, busana nyinanaasi kokwenene, syendisyaghenda okoryaye?
Jules a éteint la lumière dans le salon et est monté dans sa chambre.	Jules mwakalhimaya ekyakakola omo kiseng'ekyerilhiramo neryo mwakerukira omo kisenge kiwe.
Elle aimait le tennis et devint coach.	Abyanzire amasath'awakaghulhughulhu na mwabya musondolhya wekipya.
Le prix est deux fois plus élevé que l'an passé.	Akathalhi kabiryeruka ngendokabiri kulaba omwak'owalaba.
Bonne nuit ! J'espère que vous serez prête demain.	Ughotsere ndeke ! Ngalhengekanaya ukasyayithekanaya omonzyakya.
Thomas est venu me chercher à la sortie de mon cours de danse.	Thomas mwakasyanzondaya oko ndulhia ngalwa omo masatha.
Ils ont lancé un appel de fonds pour l'aide aux réfugiés.	Mobakaghus'amahiyi erisaba obuwathikya busana nabasayi.
Un chèque en blanc ? Ça on n'en voit que dans les films !	Ekithumo ekyo musohe? Eki, kikalangirana risa omobisesani !
L'avenir a beaucoup de chemins - choisis sagement.	Ebiry'embere biwithe nziranene-esisombwerwe kinyamalhengekania.
Ce type est fort pour lancer des balles à trajectoire incurvée.	Omulume oyu akalhir'erighus'aka ghulhughulu komo nzira yako.
On m'a rapporté hier l'agréable nouvelle que vous étiez revenue de votre voyage.	Mobambwire mulhighol'omwatsi mubuya ngoko muwalwir'oko lughendo lwaghu.
Kylia est un fan des Red Sox.	Kylia ni muhangani owe Red Sox.
Le bruit sonore de perceuse donna mal au crâne à son mari.	Olukanda olukathangathanganaya molwalhetha amaghalhi gho mulhwe wiba wiwe.
D’après la police, la victime n’est pas morte sur le coup, mais suite à ses blessures.	Erikwamana nabapolishi, omundu syatha hol'ahonaho, alhiwe busana nebironda biwe.
Ça a beau s'appeler Mac OS X, ça ne signifie pas que le code source ait été mis-à-jour.	Eki mokikayihulamo Mac OS X, sibughambu ekumbo eyenzuko yabiribyanyihiaka.
Timéo tenait une petite lampe de poche dans sa main gauche.	Timéo alweinyanawithe okotalha eyomo mufuk'omobiala biw'ebyamalhi.
Je suis désolée, je dois répondre à des messages.	Nganyire, ngatsukisubiria okosyo nzakano.
Si vous montez l'escalier et tournez à droite vous trouverez votre chambre.	Wameruk'ekísambíro neribindukir'okokulhi ukandi sunga ekisenge kyaghu.
Depuis le début, j'ai remarqué qu'il y a quelque chose qui cloche.	Eritsuk'okonzuko, mongafumbulha kohan'ebindu ebitheghendeka.
Si on me marche sur le pied gauche, on ne m'attrape pas le droit.	Bamabindiathangir'okokughul'okwamalhembe, sibinyihamba okokulhi.
Il semblait clair que le sénateur rejetterait le traité.	Kyamayikangiria ngok'omusenethi mwakaghana ekirango.
L'amour réciproque des frères et sœurs assure l'avenir de la famille.	Olwanz'olulhi omokathi akabaghala na bambesa kikabi'ekika theghekeranay'enjakya eyekihanda.
Il faut laisser aux gens le soin d'inventer leurs propres valeurs en leur donnant au départ le maximum de liberté de création. Car à un certain niveau de profondeur, si une culture est réelle, elle est libératrice. Mouloud Mammeri	 Kumb'imwa lheker'abandu bakabang'akeriyikokotheryi'esyotholhi omwihasy'obwiranda obweriyibumba. Busan'okolulhengo lughuma olwomwisi, esyo asili syamabya syekwenene, isikandisyasabula. Mouloud Mammeri
Ne vous inquiétez pas les gars, je m'en occupe.	Balwana, simuhangahangaye, ngandi kolakyo.
Je n'ai pas à chercher de boulot, on m’en propose sans arrêt.	Sinyirirondi'omubiri, bakani hesyo kashi nene ebiro biosi.
Maxime a attrapé la balle avec sa main gauche.	Maxime mwaka hamb'omupira omobialabiw'ebya malhi.
Tu seras gentil d’utiliser le pied à coulisse plutôt que ta règle : c’est quand même plus précis !	Kikandibia kyamuhongo ukakolhesya okughulu kwaghu omomwanyenda owekyaghu :  kinayikangirie !
La femme à l'apparence étrange a été prise pour une sorcière.	Omukalhi oyo mwaberekobulinga buba nero mobamwima ngomuloyi.
C'est la chose la plus stupide que tu aies jamais faite.	Nikindu ekithowen'ekyoghuthe wathakola.
Si tu rêves de lancer ta propre affaire mais que tu restes planté là à t'amuser et à ne rien faire pour cela, tu ne parviendras à rien.	Wamalhengemerwa eritsuk'omusongo waghu alhiwe iwasighala ukaghasam'aho neritakola kindu okwekyo, siwendisya kola kindu.
Ça serait chouette si vous aviez un quartier de citron vert que je puisse presser dans mon eau glacée.	Kyanguwanire wangabere nomulhong'owendimotsungu esyonangathuthirie omomaghetse waghe awaholokire.
Je vais aller acheter un ticket, alors merci de surveiller mes sacs une minute.	Ngandiya ghula etiket, nerio wasingya eritheya esyonguza syaghe omokithondi kighuma.
D'où es-tu, Karen ?	Ulhimunya hayi, Karen ?
Je cherchais à tuer le temps.	Indwengasond'eri laby'endambi.
Il est tordant de voir des gens, par ailleurs éduqués, se soumettre, pour organiser leurs vies, aux préceptes de sorcellerie d'un autre âge et de superstitions ridicules comme celles du Feng Shui.	Kika swekaya erilangira abandu, okolundi luhande abanawithe obwenge, ibaligha, eriyisuhasuha omo maisa wabo, oko buloyi bwabundi myaka obukasekawa ngabwe Feng Shui.
Un os dit à un chien: fais gaffe, je suis dur. Le chien lui répond: ça ne fait rien car moi, je n'ai rien d'autre à faire.	Erikuha muriabwir'embwa : uyiteghekanaye ndeke, nyi kalire. N'embwa moyasubya : sihalimbugha kundije, singwith'ekindi kindu ekieri kola.
Il occupe un poste important dans la société.	Awite kithumbi kinene omomaka.
Retire tes bas, garde ton masque !	Lusayagh'ehi sosettes hiaguh, ubik'ekikakiryo !
Tous les vrais grands hommes aiment à se laisser tyranniser par un être faible, et Gaudissart avait dans Jenny son tyran.	Abalume bosi abekwenene banzire erikurakurana nekihanjikwa ekyolo, na Gaudissart abi'awithe Jenny mo mukurakurana wiwe.
Chuck Norris peut remporter une partie de Puissance Quatre en trois coups.	Chuck Norris angana hek'ekihand'ekyobutoki bani omo ndambisathu.
Thomas est passé à Questions pour un champion.	Thomas mwaka laba oko kibulhio kyomushinji.
On ne peut pas jeter une habitude par la fenêtre. On doit lui faire descendre l'escalier à coups de poings, marche après marche.	Sibangaghusa emibere omwilabira eridirisa. Ngamb'itwamuthimya oko ekísambíro bolobolo, kisand'okokindi.
Chaque année, le commissaire aux Droits fondamentaux rend compte de son activité au Parlement.	Obuli mwaka, omu commissaire okombangwa syerimbere akayiberereraya oko mubiri wiwe omobisenge ebikaghulawamo parlement.
Toutes les choses sont dites déjà; mais comme personne n'écoute, il faut toujours recommencer.	Ebindu biosi biabiribughwa; alhiwe busana nomundu nomughuma syowire, kumbe iwatsuka.
Tu me racontes des conneries.	Ukanganiray'ebithyabithya.
Ce fut bon pour moi d'avoir à me mesurer, pour l'intelligence, avec les garçons du village et d'être ainsi forcé de constater que leur tête valait bien la mienne.	Mokiabya ikyuwene okwinz'eriyilhenga, okobulhengekania, nabalwana aboko mulhongo nerikaswa erifumbula ngok'omuthwe wabo abia iniawith'endundi oko waghe.
LibreOffice est une suite bureautique libre et gratuite qui offre des modules de traitement de textes, tableur, présentation, dessin vectoriel, base de données, et édition de formules mathématiques.	E LibreOffice ningwamirirayesyoburo esyobwiranda nekitesab'olumbuka ekikathek'ebindu ebyerikol'ebye syonzakano, ebisayi, eriyiminyisya, ebirimu, ekighona kye myatsi, nolusak'olwesyonzira esyobughanzi.
Si tu es rentré directement à la maison comme tu l'as dit, comment ça se fait que j'ai vu ta voiture garée devant le pub ?	Wanga subulhire eka yahonaho ngoko ulhya bugha, nerio kikyabya kith'imonganalangir'engurubani yaghu iyinaghomekirw'embere sye kihinganio ?
Excusez mon indiscrétion, mais avez-vous des problèmes à la maison?	Nganyir'okwikumbulakyo, alhiwe unawithe esyombaza syeka ?
Attention, ne laissons pas cet enseignant se réunir avec nous, il rapporte ce que nous disons à notre directeur.	Kóko, sithusighe omukangirirya oyu eribya haghuma nethu, akabwira ebiosi ebyothulhiakanaya bomulhikitere.
Je retourne avec mon ex petite copine.	Ngasubula nomuhukwanzumbu waghe wakera.
Ce sont les premiers à combattre quand sonne la révolte.	Omughulu wa malwa bakabya berimber'erilwa.
Un désir curieux de mon âme s'empare ; / je brûle d'admirer un destin si bizarre, / de voir, d'entretenir le successeur d'Hector.	Eriyithagha ryagh'eryomomuthima rikayi sesa ;/ ngathimaya eryanza endek'eyighanire, / erilangira, eritheghekania omusubukwa wa Hector.
Je ne sais pas quel est le message de « Lost », mais je connais celui de Twitter : tout le monde désire être important.	Sinyasi omulagh'owe « Lost » ngaghowahi, alhiwe nyinasi owe Twitter : obulhi mundu anzire iniabya wamuhungo.
Lorsque vous tournerez à gauche, vous verrez un bâtiment blanc.	Omughul'ukandi thimbir'oko kulhi, ukandi langira embimbano eyo musohe.
N'ennuie pas les problèmes avant que les problèmes ne viennent t'ennuyer.	Sighu luhaye esyombanza ember'esyombanza sikuluhaye.
Il y a seulement une décennie, le 8 mai 1980, que le Mont St Helens entra en éruption.	Hamathahwa ngemyak'ikumi, biro munani mukera wakahatabánze oko mwaka mwaka we  kighonye kighuma maghana mwenda makumi munani, ekitwa ekye St Helens mokya hutukamo muliro.
Plus sûrement qu'un régime oppressif, les excès nous raviront pis peut - être que la liberté même: le goût de parler d'amour.	Kalhenzio ko buthabalhi obukalhire, erilabirya hokatheho kanga thusaghulhir'obwiranda nibia : omuhwa oweri kaniok'olwanzo.
