fra	swc	swc_clean
Miel dans la bouche et poison dans le cœur.	Asali mu kinywa na samaki ku roho.	Asali mu kinywa na samaki ku roho.
Cet idiot mérite une bonne paire de claques.	Ule pumbafu ana stahili ku adibishwa.	Ule pumbafu ana stahili ku adibishwa.
Quelles sont, à ton avis, les tâches les plus importantes dans le domaine de la protection de l'environnement ?	Kwa maoni yako, majukumu ya maana ni yawapi kuhusu kulinda mazingira?	Kwa maoni yako, majukumu ya maana ni yawapi kuhusu kulinda mazingira?
Il a été condamné à quinze ans de prison avec une peine de sûreté.	Ali hukumiwa miaka kumi natano mu gereza na hukumu ya uhaki.	Ali hukumiwa miaka kumi natano mu gereza na hukumu ya uhaki.
Une brise douce et chaude souffle à travers les champs plats et infinis.	Hewa ya muzuri na kifukutu isiyo isha ina sikilikana kupitia chamba ya kunyoroka.	Hewa ya muzuri na kifukutu isiyo isha ina sikilikana kupitia chamba ya kunyoroka.
Le paparazzi régla le zoom de son appareil photo au maximum.	Mpiga picha aka nyorosha zoom ya kamera yake mbali sana.	Mpiga picha aka nyorosha zoom ya kamera yake mbali sana.
Ne faites pas comme si vous ne saviez pas de quoi je parlais.	Usifanye sawa ngizi haukukuwa najuwa nini njo niko na sema.	Usifanye sawa ngizi haukukuwa najuwa nini njo niko na sema.
Pourrais-tu garder un œil sur ma valise quelques minutes ?	Unaweza chunga sakoshi yangu kwa dakika kidogo?	Unaweza chunga sakoshi yangu kwa dakika kidogo?
Le trône, d'ivoire, où l'empereur se tient ; la table, de marbre, où sa tête il soutient.	Kiti, ya lipembe, kwenye mfalme ana ikala ; meza, jiwe, kwenye kichwa yake ina shikilia.	Kiti, ya lipembe, kwenye mfalme ana ikala ; meza, jiwe, kwenye kichwa yake ina shikilia.
Arrêtez de me forcer la main !	Acha kuni kaza kaza!	Acha kuni kaza kaza!
Les hommes allaient faire leurs besoins au fond du jardin.	Wanaume walikuwa naenda jisaidiya mu bustani.	Wanaume walikuwa naenda jisaidiya mu bustani.
On se remet donc en mer ; et la flotte, après avoir essuyé une tempête, va mouiller aux îles Strophades, retraite de certains oiseaux monstrueux appelés Harpies, qui l'obligent de remettre promptement à la voile.	Kwa hiyo tuna rudiya ku bahari; na bote, kisha ku epuka zaruba, nvula ita nyesha ku visiwa ya Strophades, kuondoka kwa ndege bisimu zinazo itwa vinubi, wana sahau kurudiya kwenye bote.	Kwa hiyo tuna rudiya ku bahari; na bote, kisha ku epuka zaruba, nvula ita nyesha ku visiwa ya Strophades, kuondoka kwa ndege bisimu zinazo itwa vinubi, wana sahau kurudiya kwenye bote.
Quand je t'embrasse sur la bouche, j'oublie le monde qui nous entoure.	Wakati mina kubusu ku mudomo, na sahau dunia inayo tu zunguluka.	Wakati mina kubusu ku mudomo, na sahau dunia inayo tu zunguluka.
Commencez à lire là où vous vous êtes arrêtée.	Anza soma kuanziya pale uli ishiya.	Anza soma kuanziya pale uli ishiya.
Si vous étiez restée ici, vous vous seriez beaucoup amusée.	Ungeli bakiyaka hapa, unge kuwa na na jifurahisha sana.	Ungeli bakiyaka hapa, unge kuwa na na jifurahisha sana.
J'ai glissé sur une plaque de glace.	Nili tereza ku sahani ya barafe.	Nili tereza ku sahani ya barafe.
Le juge a déclaré que l'accusé restera en prison jusqu'à ce qu'il trouve l'argent pour payer toutes ses amendes.	Mwanasheria alitangaza kama muhukumiwa ata bakiya mu gereza mpaka apate pesa yakulipa amande zake zote.	Mwanasheria alitangaza kama muhukumiwa ata bakiya mu gereza mpaka apate pesa yakulipa amande zake zote.
Si vous avez besoin de moi, je suis joignable sur mon mobile.	Kama uko na haja yangu, Uta nipata kusimu yangu.	Kama uko na haja yangu, Uta nipata kusimu yangu.
Je ne saurais être plus claire.	Sita weza kuwa muwazi.	Sita weza kuwa muwazi.
Vous n'étiez pas malades.	Haukukuwa na gonjwa.	Haukukuwa na gonjwa.
Vous aurez à payer les boissons au cours du vol lui-même.	Uta weza kulipiya kinywaji wakati ndege ikiwa naenda.	Uta weza kulipiya kinywaji wakati ndege ikiwa naenda.
Viendras-tu à ma fête, si je t'invite ? Bien sûr que je viendrai.	Uta kuya ku sherehe yangu, kama mina kualika? Ndio nitakuya.	Uta kuya ku sherehe yangu, kama mina kualika? Ndio nitakuya.
C'était idiot de sa part de refuser sa proposition.	Ilikuwa ujinga kwake ku katala pendekezo yake.	Ilikuwa ujinga kwake ku katala pendekezo yake.
Puis-je parler à Mademoiselle Brown?	Naweza ku ongeya na ule dada mwekunda?	Naweza ku ongeya na ule dada mwekunda?
Réservé aux adultes.	Inawekewa kwa ajili ya watu wa kubwa.	Inawekewa kwa ajili ya watu wa kubwa.
Je te préviens, n'y va pas.	Mina kuonya, usi paende.	Mina kuonya, usi paende.
J'ai d'abord lu la critique du nouveau livre.	Nili soma kwanza ukosoaji wakitabu kya mupya.	Nili soma kwanza ukosoaji wakitabu kya mupya.
J'irais jusqu'à mendier afin d'obtenir ce poste.	Nitaenda hadi kuomba omba ali nipate ile kazi.	Nitaenda hadi kuomba omba ali nipate ile kazi.
Le territoire brésilien occupe quasiment cinquante pour cent de l'Amérique du Sud.	Inchi ya wa brezil ina kamata karibu nusu ya Marekani ya kusini.	Inchi ya wa brezil ina kamata karibu nusu ya Marekani ya kusini.
Tu essaies de prier.	Una jikaza kuomba.	Una jikaza kuomba.
Il y a des gens qui pensent que tout ce qu'on fait avec un visage sérieux est raisonnable.	Kuko watu wana waza kama yote tuna fanya na tuna funga sura niya kimafikiri.	Kuko watu wana waza kama yote tuna fanya na tuna funga sura niya kimafikiri.
Il me faut formuler une objection.	Inafaa ni unge upingamizi.	Inafaa ni unge upingamizi.
Zone d'Accès Contrôlé : Entrée interdite sans autorisation.	Eneo inayo saidiya kupita ili chunguziwa: Njia ina katazwa kupita bila ruhusa.	Eneo inayo saidiya kupita ili chunguziwa: Njia ina katazwa kupita bila ruhusa.
D'ordinaire, je mange à l'extérieur.	Mara mingi, mina kuliyaka inje.	Mara mingi, mina kuliyaka inje.
J'imagine que Raphaël ne voudra pas faire ça.	Mina waza kama Raphael hata penda kufanya ile.	Mina waza kama Raphael hata penda kufanya ile.
Si tu rentres à l’intérieur, tu dois ôter tes chaussures si tu as la chance d'en posséder une paire.	Kama una ingiya ndani, una pashwa tosha biyato kama uko na baha ya kukuwa hata na mugulu moja ya biyato.	Kama una ingiya ndani, una pashwa tosha biyato kama uko na baha ya kukuwa hata na mugulu moja ya biyato.
Tu devrais vérifier ta pression sanguine.	Unge pashwa ku chunguza presha yako ya damu.	Unge pashwa ku chunguza presha yako ya damu.
C'est fini. Posez vos feutres et levez vos ardoises.	Imekwisha. Mu weke kalamu zenu na mu inuwe vibao zenu.	Imekwisha. Mu weke kalamu zenu na mu inuwe vibao zenu.
Jim a pu retenir sa colère et éviter une bagarre.	Jim ali zuiya kasirani yake na kujiepusha na ugonvi.	Jim ali zuiya kasirani yake na kujiepusha na ugonvi.
T'es-tu déjà lié d'amitié avec elle?	Ulisha unganisha urafiki naye?	Ulisha unganisha urafiki naye?
À vos marques.	Kwa maoni yenu.	Kwa maoni yenu.
Est-ce que Kylia sortira bientôt de prison?	Kylia ana weza kutoka mu gereza mbio?	Kylia ana weza kutoka mu gereza mbio?
C'est un patron digne de confiance.	Ni bosi wa ku aminiya.	Ni bosi wa ku aminiya.
Soutenir dans les différents bassins l'émergence de stratégies de développement local pour l'emploi, valorisant les savoir-faire des territoires et développant des actions innovantes.	Kusaidiya ndani ya nia tofauti kuhusu maedeleo ya ku tafuta mbinu za kusonga mbele mundani kwa ajili ya ma kazi, ita nyanyuwa ujuzi wa majimbo na kuendelesha hatuwa za mageuzi.	Kusaidiya ndani ya nia tofauti kuhusu maedeleo ya ku tafuta mbinu za kusonga mbele mundani kwa ajili ya ma kazi, ita nyanyuwa ujuzi wa majimbo na kuendelesha hatuwa za mageuzi.
Arrêtez votre cirque !	Acha byako!	Acha byako!
Hier, j'ai visité la maison de Carlos Gardel.	Jana, nili tembeleya nyumba ya Carlos Gardel.	Jana, nili tembeleya nyumba ya Carlos Gardel.
Une idée brillante lui est soudainement venue à l'esprit alors qu'il prenait son bain.	Wazo ya muzuri ili mukuiya pale pale wakati alikuwa na nawa.	Wazo ya muzuri ili mukuiya pale pale wakati alikuwa na nawa.
Il n'y a pas moyen de tirer du beurre du cou d'un chien.	Hakuna ngizi ya kutosha kifundo ku shingo ya imbwa.	Hakuna ngizi ya kutosha kifundo ku shingo ya imbwa.
Les joueurs entrent dans le stade et commencent à jouer.	Wachezaji wana ingiya ndani ya kiwanza ya kuchezeya na wana anza kucheza.	Wachezaji wana ingiya ndani ya kiwanza ya kuchezeya na wana anza kucheza.
C'est dingue ce que les hormones peuvent transformer les gens : une fois par mois, ma femme, pré-menstruelle, se métamorphose littéralement en pit-bull.	Inashangaza kuona ngizi mahomoni zina weza kugeuza watu limoya ku mwezi, bibi yangu, mbele ya kuingiya mu siku za banamuke, ana geukaka kweli sawa vile mnyama.	Inashangaza kuona ngizi mahomoni zina weza kugeuza watu limoya ku mwezi, bibi yangu, mbele ya kuingiya mu siku za banamuke, ana geukaka kweli sawa vile mnyama.
"À ce moment-là, il me tapota l'épaule. ""Mon ami"", dit-il énergiquement, ""Je sais que c'est l'occasion rêvée. Prends ton courage à deux mains !"""	Kwa wakati ile alikuwa nani nyorosha kulibega. “Rafiki yangu”, alisema kwa ngufu, Mina juwa niwakati sasa wa ndoto kutimiya. Kamata ngunfu yako na mikono mbili!”	Kwa wakati ile alikuwa nani nyorosha kulibega. “Rafiki yangu”, alisema kwa ngufu, Mina juwa niwakati sasa wa ndoto kutimiya. Kamata ngunfu yako na mikono mbili!”
Tu l'as pigé ?	Uli ipima?	Uli ipima?
Mon frère a été menacé par quelqu'un qui brandissait une arme.	Kaka yangu ali vamiwa na mutu mwenye alikuwa na onesha silaha.	Kaka yangu ali vamiwa na mutu mwenye alikuwa na onesha silaha.
Il n'arrivait pas à se souvenir de mon adresse.	Hakumbuke fasi kwenye mina ishi.	Hakumbuke fasi kwenye mina ishi.
Je ne supporte pas ce mal de ventre.	Sita vumilia ina luma sana mu tumbu.	Sita vumilia ina luma sana mu tumbu.
Quelques mots allemands sont extrêmement difficiles à prononcer pour un locuteur anglophone, comme par exemple : « Streichholzschächtelchen ».	Maneno zimoya za kijerumani ziko ngufu kusema ku mutu ambaye anasemaka kingereza, kama vile kwa mfano: «Streichholzschachtelchen».	Maneno zimoya za kijerumani ziko ngufu kusema ku mutu ambaye anasemaka kingereza, kama vile kwa mfano: «Streichholzschachtelchen».
Vous ne connaissez ni moi ni mon Père; si vous me connaissiez, vous connaîtriez aussi mon Père.	Haunijuwe mimi hata baba yangu, ungelikuwa na nijuwa, unge juwa hata baba yabgu pia.	Haunijuwe mimi hata baba yangu, ungelikuwa na nijuwa, unge juwa hata baba yabgu pia.
Mes enfants ne sont pour moi qu'un lourd fardeau et la croix de mon existence.	Wa toto wangu nikama mzigo mzito kwangu na msalaba wa kuishi kwangu.	Wa toto wangu nikama mzigo mzito kwangu na msalaba wa kuishi kwangu.
Cette patiente souffre d'hypoxie.	Ule mgonjwa ana teseka na ugonjwa wa pumuzi.	Ule mgonjwa ana teseka na ugonjwa wa pumuzi.
Sa voix résonne comme le sexe à l'état pur.	Sauti yake inasikilika sawa vile uchi ambayo iko na busafi.	Sauti yake inasikilika sawa vile uchi ambayo iko na busafi.
Au commencement de l’hiver de 1805 à 1806, Pierre reçut le petit billet rose habituel qui contenait une invitation. Le post-scriptum disait : « Vous trouverez chez moi la belle Hélène qu’on ne se lasse jamais de voir. »	Hapo mwanzo ya siku za baridi mu 1805 mpaka 1806, pierre ali pokeya tukaratasi tudogo twa kawaida twa rose ambayo mulikuwa barua ya mualiko. Posta ya maadishi ilikuwa nasema: «Utakutana kwangu mrembo Helene mwenye haba chokake na kuona.»	Hapo mwanzo ya siku za baridi mu 1805 mpaka 1806, pierre ali pokeya tukaratasi tudogo twa kawaida twa rose ambayo mulikuwa barua ya mualiko. Posta ya maadishi ilikuwa nasema: «Utakutana kwangu mrembo Helene mwenye haba chokake na kuona.»
Essayez ces chaussures et voyez si elles vous vont.	Pima iyi biyato na uone kama bina kueneya.	Pima iyi biyato na uone kama bina kueneya.
Le capitaine du bateau décide de changer de cap.	Kapiteni wa mashua ana amuwa ku geuza mwelekeo.	Kapiteni wa mashua ana amuwa ku geuza mwelekeo.
Tu la trouves mignonne, Marie ?	Una ona ni muzuri, Marie?	Una ona ni muzuri, Marie?
Maxime est maintenant retourné en prison.	Maxime amerudiya sasa mu gereza.	Maxime amerudiya sasa mu gereza.
Si on ouvrait une bouteille de champagne pour fêter ça ?	Na kama tuna fungula chupa ya champagne ku sherekeya ile?	Na kama tuna fungula chupa ya champagne ku sherekeya ile?
L'opinion publique soutient le projet avec force.	Watu wana unga mkono ile mpango na ngufu.	Watu wana unga mkono ile mpango na ngufu.
Comme prix de consolation, j'ai reçu un gobelet plastique qui n'était toutefois pas du tout pratique : on ne pouvait le faire tenir droit et il fuyait.	Kama samani ya faraja, nilipata globeti ya plastiki ambayo ilikuwa siyo kabisa: hatungeweza kuishimamisha walikuwa na fanya uchunguzi.	Kama samani ya faraja, nilipata globeti ya plastiki ambayo ilikuwa siyo kabisa: hatungeweza kuishimamisha walikuwa na fanya uchunguzi.
Nous devons malheureusement arracher la dent.	Tana pashwa kutosha lino kwa bahati mubaya.	Tana pashwa kutosha lino kwa bahati mubaya.
Et la douleur corporelle qui accompagne tout excès n'est-elle pas un signe de la volonté divine ?	Na maumivu ya mwili anayo fuatana na ziada yoyote haiko ishara ya mapenzi ya Mungu?	Na maumivu ya mwili anayo fuatana na ziada yoyote haiko ishara ya mapenzi ya Mungu?
Acheter un appartement est à la fois excitant et effrayant.	Kuuza nyumba ina sisimuwa na tena kuogopesha.	Kuuza nyumba ina sisimuwa na tena kuogopesha.
Pourrions-nous t'emmener ailleurs ?	Tuna weza kupeleka fasi yengine?	Tuna weza kupeleka fasi yengine?
Nous ne pensons pas que ce soit sérieux.	Hatuku kuwa najuwa kama ina eza kuwa kweli.	Hatuku kuwa najuwa kama ina eza kuwa kweli.
Le girafon a été dépecé en public et sa viande a été donnée aux fauves.	Kitoto ya twiga ili chinjwa hazarani na nyama yake ili patiliwa na mwitu pori.	Kitoto ya twiga ili chinjwa hazarani na nyama yake ili patiliwa na mwitu pori.
J'ai engagé une assistante.	Nilikamata msaidizi.	Nilikamata msaidizi.
J'ai brûlé un brin de buis pour éloigner la foudre.	Nili lunguza fimbo ya buis juya kukimbiza radi.	Nili lunguza fimbo ya buis juya kukimbiza radi.
Qu’ils aient en horreur la tyrannie exercée sur les âmes, comme ils ont en exécration le brigandage qui ravit par la force le fruit du travail et de l’industrie paisible !	Hata wakuwe na chuki ya utumwa iliyo fanyika mu roho, kwa sababu wana endelesha kuiba matunda ya kazi na sekta ya kusaidiya!	Hata wakuwe na chuki ya utumwa iliyo fanyika mu roho, kwa sababu wana endelesha kuiba matunda ya kazi na sekta ya kusaidiya!
Les Russes adorent l'Ukraine, du moment que l'élite intellectuelle ukrainienne soit aussi massacrée que les officiers polonais à Katyn !	Wa rusi wana penda wa Ukraine, Wakati yenye wa somi wa ukraine wana uwawa sawa vile viongozi wa kipolishi kule Katyn!	Wa rusi wana penda wa Ukraine, Wakati yenye wa somi wa ukraine wana uwawa sawa vile viongozi wa kipolishi kule Katyn!
Recule, s'il te plaît.	Sogeya nyuma, tafazali.	Sogeya nyuma, tafazali.
La rencontre au sommet a contribué à la paix du monde.	Mkututano ali saidiya kuleta amani mu dunia.	Mkututano ali saidiya kuleta amani mu dunia.
La US Navy s'est excusée après qu'un de ses pilotes ait dessiné un pénis géant dans le ciel. grâce aux traînées de condensation de son appareil.	Jeshi ya bahari ya Marekani ili lomba musamaha baada ya mu moya wa waendeshaji kupiga bombe kubwa mu hewa. kupitiya njia ya chombo yake.	Jeshi ya bahari ya Marekani ili lomba musamaha baada ya mu moya wa waendeshaji kupiga bombe kubwa mu hewa. kupitiya njia ya chombo yake.
Sami avait des démons qu'il arrivait à peine à contenir.	Sami alikuwa na mapepo mpaka vumilia ilikuwa ngufu.	Sami alikuwa na mapepo mpaka vumilia ilikuwa ngufu.
Elle s'installa dans une maison à colombages assurée contre l'incendie dans un quartier extérieur calme.	Aka ishi ndani ya nyumba ya nusu mbao inayo zuiya moto ndani ya eneo ya inje ambayo iko kimia.	Aka ishi ndani ya nyumba ya nusu mbao inayo zuiya moto ndani ya eneo ya inje ambayo iko kimia.
Continuez à danser.	Mu endeleshe kucheza.	Mu endeleshe kucheza.
Suite au vol de mon portefeuille j'ai appelé ma banque pour faire opposition sur ma carte bancaire.	Kwa sababu ya kuibiwa kwa kasakoshi kangu nili ita ku banki juya kufunga kadi yangu ya banki.	Kwa sababu ya kuibiwa kwa kasakoshi kangu nili ita ku banki juya kufunga kadi yangu ya banki.
Tous les matins, j'allais prendre des bains de mer au Château-Vert, et j'apercevais de loin en nageant les îles riantes du golfe.	Kila asubui, nilikuwa naenda nawa ku barahi ku Chateau-Vert, na nilikuwa naona kwa mbali visiwa bya kucheka bya golfe.	Kila asubui, nilikuwa naenda nawa ku barahi ku Chateau-Vert, na nilikuwa naona kwa mbali visiwa bya kucheka bya golfe.
Nous voulons que vous soyez le capitaine de l'équipe.	Tuna penda ukuwe kiongozi wa timu.	Tuna penda ukuwe kiongozi wa timu.
Si ce que vous dites est vrai, il est naturel qu'il ait un alibi.	Kama byenye una sema ni kweli, ni kawaida akuwe iko na ushuhuda.	Kama byenye una sema ni kweli, ni kawaida akuwe iko na ushuhuda.
Ça ne marchera pas, te dis-je !	Haitumike, mana kuambiya!	Haitumike, mana kuambiya!
Arrêtez de mentir.	Acha kusema bongo.	Acha kusema bongo.
J'ai étudié le français, vous vous rappelez ?	Nilikuwa nasoma kifaransa, una kumbuka?	Nilikuwa nasoma kifaransa, una kumbuka?
Pouvez-vous livrer ceci ?	Una weza pana hii?	Una weza pana hii?
Nous avons fait moisir le fromage dans une cave spéciale.	Tuli acha fromage ivunde chini ya nyumba fasi ya muzuri.	Tuli acha fromage ivunde chini ya nyumba fasi ya muzuri.
Aux États-Unis, tout le monde est d'opinion que personne ne lui est supérieur socialement, puisque tous les hommes sont égaux, mais il n'admettra pas que personne ne lui est inférieur.	Marekani, kila mutu iko na maoni kama hakuna mutu iko yulu yake kijamii, kwa sababu watu wote wako sawa, lakina haitike kama kuko mutu ana weza kuwa chini yake.	Marekani, kila mutu iko na maoni kama hakuna mutu iko yulu yake kijamii, kwa sababu watu wote wako sawa, lakina haitike kama kuko mutu ana weza kuwa chini yake.
T'es bien, là, à poil dans mon quartier ?	Uko muzuri, pale, kuonekana uchi mu eneo?	Uko muzuri, pale, kuonekana uchi mu eneo?
Jules n'est pas actuellement armé.	Jules hana silaha kwa sasa.	Jules hana silaha kwa sasa.
Vous êtes bien plus jolie que dans mon souvenir.	Uko tena muzuri sana kupita ngizi mina kumbuka.	Uko tena muzuri sana kupita ngizi mina kumbuka.
Vouloir me protéger de moi-même, c'est aussi ingénieux que sauver un poisson de la noyade.	Kutaka kujilinda namiyepeke, Ni kama vile ujanja kutaka kusaidiya samaki yenye iko nazama.	Kutaka kujilinda namiyepeke, Ni kama vile ujanja kutaka kusaidiya samaki yenye iko nazama.
Il a officiellement pris ses fonctions.	Alianza kazi kwa kujulisha.	Alianza kazi kwa kujulisha.
La mission des soldats était de détruire le pont.	Utume wa ma askari ilikuwa kubomola kilalo.	Utume wa ma askari ilikuwa kubomola kilalo.
L’Illustre Gaudissart ne souffleta que la perruque du teinturier, laquelle alla tomber sur la tête de mademoiselle Claire Vernier.	Mtukufu Gaudissart ana harufu tu ya nyele za mupalaka rangi, yenye ilienda anguka ku kichwa ya dada Claire Vernier.	Mtukufu Gaudissart ana harufu tu ya nyele za mupalaka rangi, yenye ilienda anguka ku kichwa ya dada Claire Vernier.
D'après le Fundamento de l'espéranto les finales sont considérées comme des mots, en effet o signifie : cela qui est ..., i signifie : se manifester, c.-à-d. être ou agir par... ou agir comme...	Kulingana na msingi ya esperanto mwisho ina kubaliwa sawa vile maneno, kwahiyo o ina maanshi: ile yenye..., i ina maanisha: ku jionesha, nikusema kukuwa wala ku amua kwa... wala ku amua kama...	Kulingana na msingi ya esperanto mwisho ina kubaliwa sawa vile maneno, kwahiyo o ina maanshi: ile yenye..., i ina maanisha: ku jionesha, nikusema kukuwa wala ku amua kwa... wala ku amua kama...
« Donnez-moi votre nom complet, s’il vous plaît. » « Gabriel Miller. »	«Nipe jina yako yote, tafazali.» «Gabriel Miller.»	«Nipe jina yako yote, tafazali.» «Gabriel Miller.»
Ce spécialiste de la conception de jeux classifie les jeux sur plateau selon le nombre de pièces à jouer.	Huyu mtaalamu waku fatiliya michezo ana panga michezo juu kulingana na namba ya sehemu za kuchezewa.	Huyu mtaalamu waku fatiliya michezo ana panga michezo juu kulingana na namba ya sehemu za kuchezewa.
Le courage physique et l'amour du combat, par exemple, ne sont pas d'une grande aide - et peuvent même constituer des obstacles - à un homme civilisé.	Ngufu za mwili na upendo wa vita, kwa mfano, habiko byenye msaada kubwa - na bina weza hata kuleta vizuizi - kwa mwanaume aliye endeleya mbele.	Ngufu za mwili na upendo wa vita, kwa mfano, habiko byenye msaada kubwa - na bina weza hata kuleta vizuizi - kwa mwanaume aliye endeleya mbele.
Elle est douée pour jouer de la guitare.	Iko na karama ya kupiga gitar.	Iko na karama ya kupiga gitar.
Le public n’adopte hier que comme une arme pour frapper sur maintenant.	Watu hawa kui itika jana kama vile silaha ya kutumiya ili kupiga sasa.	Watu hawa kui itika jana kama vile silaha ya kutumiya ili kupiga sasa.
Il n'y a rien que tu puisses dire qui me ferait changer d'avis.	Hakuna yenye utasema yenye ina weza acha mina badisha mawazo yangu.	Hakuna yenye utasema yenye ina weza acha mina badisha mawazo yangu.
Le prophète Mahomet n'a jamais réussi à convaincre ses voisins juifs de renoncer à leur propre religion.	Mtume Mahomet hakuwezaka ku shawishi wa jirani bayuda juu ba ache dini yabo.	Mtume Mahomet hakuwezaka ku shawishi wa jirani bayuda juu ba ache dini yabo.
Je ne peux supporter d'être enfermé dans cette prison !	Siwezi weza vumiliya kubakiya mwa iyi gereza!	Siwezi weza vumiliya kubakiya mwa iyi gereza!
Tatoeba : Ne vous approchez pas d'ici les vendredis soirs, les enfants.	Tatoeba: Musikuye hapa kila siku ya tano mangari, watoto.	Tatoeba: Musikuye hapa kila siku ya tano mangari, watoto.
T'as l'air d'un flic.	Una fanana polisi.	Una fanana polisi.
Jamais la psychologie ne pourra dire sur la folie la vérité, puisque c'est la folie qui détient la vérité de la psychologie.	Kamwe saikologia haita itasema kuhusu bazimu na ukweli, kwasababu ni bazimu njo ina shikilia ukweli ya saikologia.	Kamwe saikologia haita itasema kuhusu bazimu na ukweli, kwasababu ni bazimu njo ina shikilia ukweli ya saikologia.
<<Non, il n'y en a pas.>> répondit Jordan.	«Hapana, hakuna.» alisema Jordan.	«Hapana, hakuna.» alisema Jordan.
Connais-tu qui que ce soit qui se trouvait sur ce vaisseau qui a coulé ?	Una juwa mutu yoyote ambaye alikuwa mu chombo yenye ili anguka?	Una juwa mutu yoyote ambaye alikuwa mu chombo yenye ili anguka?
Je peux supporter une force brutale, mais il n'est pas possible de supporter un raisonnement grossier. Il y a quelque chose d'injuste dans son utilisation. C'est un coup bas pour la faculté de penser.	Naweza ku vumilia ku sumbuliwa, lakini haiwezekane kuvumilia mafikiri ya mubaya. Kuko kitu yenye haiko ya kweli muma matumizi yayo. Ni kipigo chini ya masomo kifikiria.	Naweza ku vumilia ku sumbuliwa, lakini haiwezekane kuvumilia mafikiri ya mubaya. Kuko kitu yenye haiko ya kweli muma matumizi yayo. Ni kipigo chini ya masomo kifikiria.
Thomas est accusé de violation du secret de l'instruction et de trafic d'influence.	Thomas ana shutumiwa kusema siri ya uchunguzi na kushawishiwa.	Thomas ana shutumiwa kusema siri ya uchunguzi na kushawishiwa.
Je t'ai eue.	Nime kupata.	Nime kupata.
Je suis venue ici pour vous offrir un cadeau.	Nilikuya hapa ju nikupatiye zawadi.	Nilikuya hapa ju nikupatiye zawadi.
Le roque est le seul coup permettant de déplacer deux pièces à la fois.	Ku nyangula tu njo njia ya kusaidiya kupitisha sehemu mbili kulimoya.	Ku nyangula tu njo njia ya kusaidiya kupitisha sehemu mbili kulimoya.
Malheureusement je n'aurai pas beaucoup de temps libre.	Kwa bahati mbaya sita kuwa na wakati ya mingi.	Kwa bahati mbaya sita kuwa na wakati ya mingi.
J'étais un idiot d'avoir épousé quelqu'un comme elle.	Nilikuwa mujinga kuowa mutu sawa ule.	Nilikuwa mujinga kuowa mutu sawa ule.
Je vis à Miami.	Mina ishi Miami.	Mina ishi Miami.
Ne perds pas ton temps avec Fred. Il ne changera jamais d'avis.	Usi poteze wakati yako na Fred. Hawezi ku badilika kamwe.	Usi poteze wakati yako na Fred. Hawezi ku badilika kamwe.
La mer monte et descend en fonction de la situation de la Lune.	Bahari ina panda na ina shuka kulingana na hali ya mbara mwezi.	Bahari ina panda na ina shuka kulingana na hali ya mbara mwezi.
Sur une feuille de papier, l'ingénieur réalise un dessin de l'appareil qu'il avait imaginé.	Ku karatasi moya, fundi ame chapa chombo yenye alikuwa na waza.	Ku karatasi moya, fundi ame chapa chombo yenye alikuwa na waza.
Cette arme peut causer des dégâts redoutables.	Hii silaha ina weza kusababisha uharibifu mubaya.	Hii silaha ina weza kusababisha uharibifu mubaya.
Les visions ont un heureux instinct : elles ne viennent qu'à ceux qui doivent y croire.	Maono iko na fikra ya kufurahisha: ina kuya tu ku wenye wana weza amini.	Maono iko na fikra ya kufurahisha: ina kuya tu ku wenye wana weza amini.
Le criminel a été arrêté et placé en prison.	Muuwaji ali kamatwa na tiwa gerezani.	Muuwaji ali kamatwa na tiwa gerezani.
Ouah, tu es en première page !	Ndio, uko ku ukurasa ya kwanza!	Ndio, uko ku ukurasa ya kwanza!
Promets que tu tiendras ta promesse.	Ni ahidi ya kwamba uta timiza ahadi yako.	Ni ahidi ya kwamba uta timiza ahadi yako.
J'apprécierais toute information que vous pourriez nous faire parvenir.	Nita furahiya habari zote una weza tuleteya.	Nita furahiya habari zote una weza tuleteya.
Ma copine est enceinte et elle veut garder le bébé.	Mpenzi wangu iko mimba na ana penda achunge ule mtoto.	Mpenzi wangu iko mimba na ana penda achunge ule mtoto.
Avec un prédateur sexuel comme Sami en liberté, aucune femme n'est en sécurité.	Pamoja na mutu wakupenda uchi sawa Sami mwenye iko huru, hakuna mwanamuke mwenye iko na usalama.	Pamoja na mutu wakupenda uchi sawa Sami mwenye iko huru, hakuna mwanamuke mwenye iko na usalama.
Cet enregistrement vient à point pour combler une lacune de l'histoire de la musique française du Grand Siècle.	Hii rikodi ina kuya sasa ku funika shida ya historia ya muziki ya kifaransa ya Karne Kubwa.	Hii rikodi ina kuya sasa ku funika shida ya historia ya muziki ya kifaransa ya Karne Kubwa.
Ne vous foutez pas de moi !	Usi cheze namiye!	Usi cheze namiye!
Je veux que vous ayez un boulot que vous adoriez.	Mina penda upate kazi yenye uta furahiya.	Mina penda upate kazi yenye uta furahiya.
Arrêtez d'écrire et rendez votre feuille.	Mu acha ku andika na munipe ma kartasi zenu.	Mu acha ku andika na munipe ma kartasi zenu.
Les travailleurs aiment aller dans un bar où ils peuvent se détendre.	Wafanya kazi wana penda kuenda mu baa kwenye wata weza pumuzikiya.	Wafanya kazi wana penda kuenda mu baa kwenye wata weza pumuzikiya.
Coupez l'électricité !	Kata moto!	Kata moto!
Cette rose est jolie.	Hii Rosi iko muzuri.	Hii Rosi iko muzuri.
