fra	swc	swc_clean
Passé un certain âge, les blessures mettent longtemps à guérir.	Kisha kupisha umri fulani, bidonda inakamataka muda murefu kupona.	Kisha kupisha umri fulani, bidonda inakamataka muda murefu kupona.
« Bon, je vous laisse dans votre petit coin… Je vois que vous y êtes très bien », dit Mlle Schérer en passant.	«Sawa, nakuacha kidogo kwenye kona yako... Minaona kama uko sawa hapo», alisema dada Schérez akipita.	«Sawa, nakuacha kidogo kwenye kona yako... Minaona kama uko sawa hapo», alisema dada Schérez akipita.
 De cent fameux combats on recherche la trace : / ici le fier Pyrrhus signalait son audace ; / là le fils de Thétis rangeait ses bataillons ; / ici c'était leur flotte, et là leurs pavillons. 	 Kutoka kwa mapigano mia yenye kujilikana sana tunatafuta alama: / hapa Pyrrhus mwenye sifa alionesha ujasiri wake; / hapo mtoto wa Thétis alipanga vikosi vyake; / hapa njo palikuwa mashua yabo ya vita, na pale nyumba za maaskari wa maji. 	 Kutoka kwa mapigano mia yenye kujilikana sana tunatafuta alama: / hapa Pyrrhus mwenye sifa alionesha ujasiri wake; / hapo mtoto wa Thétis alipanga vikosi vyake; / hapa njo palikuwa mashua yabo ya vita, na pale nyumba za maaskari wa maji. 
J’aurais aimé avoir un mignon petit frère, ou un grand frère cool.	Ningependa nikuwe na kaka mudogo muzuri, ao kaka mukubwa asiye sumbua.	Ningependa nikuwe na kaka mudogo muzuri, ao kaka mukubwa asiye sumbua.
Aucun de mes gars ne veut s'engager dans les forces spéciales.	Hakuna hata mumoja wa marafiki zangu mwenye anataka kujiunga na vikosi maalum.	Hakuna hata mumoja wa marafiki zangu mwenye anataka kujiunga na vikosi maalum.
Aucun autre garçon dans notre classe n'est plus studieux que Jack.	Hakuna hata kijana mwingine katika darasa letu anayesoma zaidi kuliko Jack.	Hakuna hata kijana mwingine katika darasa letu anayesoma zaidi kuliko Jack.
Vous pouvez mettre vos affaires dans le casier puis choisir un code pour le fermer.	Unaweza weka bitu yako lu sanduku kisha uchague code ya kuifunga.	Unaweza weka bitu yako lu sanduku kisha uchague code ya kuifunga.
Sortez ! Ne jouez pas ici !	Toka inje! Musichezee hapa!	Toka inje! Musichezee hapa!
Tu arrives trop tard. La rencontre est terminée depuis trente minutes.	Unafika nyuma sana. Mukutano uliisha dakika makumi tatu yenye ilipita.	Unafika nyuma sana. Mukutano uliisha dakika makumi tatu yenye ilipita.
« Dis, c’est vrai que tu sors avec Ethan ? » « Hein ? Qui t’a dit ça ? »	«Sema, ni kweli unatokaka na Ethan?» «Uhm? Ni nani alikwambia hivyo?»	«Sema, ni kweli unatokaka na Ethan?» «Uhm? Ni nani alikwambia hivyo?»
Quand tu dis : « Salut les mecs ! » ou « Salut les potes ! » à un groupe de gens que tu ne connais pas, comment sais-tu que l'un d'eux aurait pu être ton futur patron ?	Wakati unasema: «Jambo marafiki!» ao «Jambo wajamaa!» kwa kundi ya watu wenye haujui, unajua aye kama mumoja wao angekuwa bosi wako wa siku zijazo?	Wakati unasema: «Jambo marafiki!» ao «Jambo wajamaa!» kwa kundi ya watu wenye haujui, unajua aye kama mumoja wao angekuwa bosi wako wa siku zijazo?
Bonsoir, chérie !	Habari ya mangaribi, mupenzi!	Habari ya mangaribi, mupenzi!
Si vous voulez savoir la vérité, écoutez les fous.	Ukitaka kujua ukweli, sikiliza wendawazimu.	Ukitaka kujua ukweli, sikiliza wendawazimu.
Votre avenir est devant vous, surtout ne vous retournez pas.	Maisha yako ya baadaye iko mbele yako, zaidi sana usi rudi nyuma.	Maisha yako ya baadaye iko mbele yako, zaidi sana usi rudi nyuma.
Allez de l'avant tout en sachant que, bien plus tôt qu’il n’y paraît, de nouveau s’ouvriront les larges allées par lesquelles passe l’homme libre, pour construire une société meilleure.	Nenda mbele ukijua kuwa, mapema zaidi kuliko inavyoonekana, njia nyingi ambazo mtu huru hupitia tena zitafunguliwa kujenga jamii bora.	Nenda mbele ukijua kuwa, mapema zaidi kuliko inavyoonekana, njia nyingi ambazo mtu huru hupitia tena zitafunguliwa kujenga jamii bora.
L'iris japonais, qui est associé à la fête des garçons (5 mai), n'est pas une fleur très jolie.	Maua ya Kijapani, yenye inaambatana na sikukuu ya vijana (tarehe 5 mwezi wa tano), siyo maua ya kupendeza sana.	Maua ya Kijapani, yenye inaambatana na sikukuu ya vijana (tarehe 5 mwezi wa tano), siyo maua ya kupendeza sana.
Pour trouver cinquante personnes pour une fête, on doit envoyer à New York cent invitations. A Hollywood, vingt-cinq suffisent.	Ili ukupate watu makumi tano kwa sikukuu, lazima utume mialiko mia moja New York. Pale Hollywood, makumi mbili na tano inatosha.	Ili ukupate watu makumi tano kwa sikukuu, lazima utume mialiko mia moja New York. Pale Hollywood, makumi mbili na tano inatosha.
Mathis est apparemment chauffeur de camion.	Mathis ni zahiri kwamba ni dereva wa lori.	Mathis ni zahiri kwamba ni dereva wa lori.
Rien de tel après une dure journée de boulot que de se poser dans le canapé et regarder un film.	Hakuna kitu kama kukaa mu kitanda na kuangalia sinema baada ya siku ngumu kazini.	Hakuna kitu kama kukaa mu kitanda na kuangalia sinema baada ya siku ngumu kazini.
Elle est tombée amoureuse d'un mec gay du gymnase.	Alipendana na garçon homosexuel kwenye salle ya kufanyia mazoezi.	Alipendana na garçon homosexuel kwenye salle ya kufanyia mazoezi.
Bonjour. Es-tu Jackie Scott ?	Habari ya asubui. Weye ni Jackie Scott?	Habari ya asubui. Weye ni Jackie Scott?
Partout à la radio il y a des nouvelles de l'explosion qui a eu lieu récemment.	Kila mahali kwenye redio kuna habari ya mlipuko wa hivi karibuni.	Kila mahali kwenye redio kuna habari ya mlipuko wa hivi karibuni.
La dernière fois que je suis allé au concert de Lady Gaga, bien qu'elle eût fini toutes ses chansons, beaucoup de personnes dans le public n'étaient pas satisfaites.	Mara ya mwisho nilikwenda kwenye tamasha la Lady Gaga, ingawa alikuwa amemaliza nyimbo zake zote, watu wengi katika watazamaji hawakuridhika.	Mara ya mwisho nilikwenda kwenye tamasha la Lady Gaga, ingawa alikuwa amemaliza nyimbo zake zote, watu wengi katika watazamaji hawakuridhika.
Un journal intime est une excellente façon de garder une trace des évènements de ton passé et de penser à ton futur.	Ajenda yako ya karibu ni njia muzuri yakuchunga alama ya mambo yako yaliyo pita na kufikiria juu ya siku zako zijazo.	Ajenda yako ya karibu ni njia muzuri yakuchunga alama ya mambo yako yaliyo pita na kufikiria juu ya siku zako zijazo.
J'aimerais que vous me disiez ce qui s'est passé.	Ningependa uniambie kilichotokea.	Ningependa uniambie kilichotokea.
Ne posez pas de questions, contentez-vous de suivre les ordres.	Usiulize maswali, furahia tu kufuata maagizo.	Usiulize maswali, furahia tu kufuata maagizo.
Ils ont tenté d'affronter notre position avec leurs lourds robots J-23, mais nous avons contré la poussée en déployant des milliers de mines intelligentes et en concentrant nos tirs de mitrailleuses.	Walijaribu kupiganisha position yetu na roboti zao nzito za J-23, lakini tuliamua kushinikiza kwa kupeleka maelfu ya mabomu ya smart na kuweka mukazo kwenye bundiki zetu nzito nzito.	Walijaribu kupiganisha position yetu na roboti zao nzito za J-23, lakini tuliamua kushinikiza kwa kupeleka maelfu ya mabomu ya smart na kuweka mukazo kwenye bundiki zetu nzito nzito.
Les bâtons de colle et les gommes font partie de ces choses qu'on perd plus souvent qu'on en voit la fin.	Vijiti vya gundi na vifijo ni kati ya bitu mutu anapotezaka mara nyingi zaidi kuliko anavyoona mwisho.	Vijiti vya gundi na vifijo ni kati ya bitu mutu anapotezaka mara nyingi zaidi kuliko anavyoona mwisho.
Un fonctionnaire du Conseil de Transition a déclaré à la presse qu'il prévoit que la production de pétrole atteigne un million six cent mille barils par jour d'ici un an.	Afisa wa mashauri ya Mpito aliwaambia waandishi kwamba anatarajia uzalishaji wa mafuta kufikia mapipa milioni moja elfu mia sita kwa siku kwa mwaka mumoja ujao.	Afisa wa mashauri ya Mpito aliwaambia waandishi kwamba anatarajia uzalishaji wa mafuta kufikia mapipa milioni moja elfu mia sita kwa siku kwa mwaka mumoja ujao.
Tous les dimanches, je me rends en voiture au temple bouddhiste du coin. Je conduis très vite, avec la musique à fond.	Kila siku ya Mungu, naendaka kwenye kanisa ya Wabuda ya mahali naishi. Natembezaka gari haraka sana, pamoja na muziki ya mingi sana.	Kila siku ya Mungu, naendaka kwenye kanisa ya Wabuda ya mahali naishi. Natembezaka gari haraka sana, pamoja na muziki ya mingi sana.
La pollution est telle à New York que les joggeurs portent souvent un masque quand ils courent.	Uchafu wa hewa ni mingi sana pale New York hadi mara nyingi wakimbiaji wana vala ma mask wakati wanakimbia.	Uchafu wa hewa ni mingi sana pale New York hadi mara nyingi wakimbiaji wana vala ma mask wakati wanakimbia.
Tous les passagers de la voiture dirent qu'ils voulaient sortir se dégourdir les jambes.	Abiria wote walio ndani ya gari walisema wanataka kutoka inje na kunyorosha migulu yabo.	Abiria wote walio ndani ya gari walisema wanataka kutoka inje na kunyorosha migulu yabo.
Quand je couche avec elle, j'ai l'impression de me taper une poupée gonflable.	Wakati nalala nayeye, nasikia kama ninapiga doli yakuvimba.	Wakati nalala nayeye, nasikia kama ninapiga doli yakuvimba.
Il peut courir 100 mètres en douze secondes.	Anaweza kukimbia mita 100 kwa sekunde kumi na mbili.	Anaweza kukimbia mita 100 kwa sekunde kumi na mbili.
Dites ce que vous voulez, cela ne me gêne pas.	Sema tu byenye unataka, hibyo habi nisumbue mimi.	Sema tu byenye unataka, hibyo habi nisumbue mimi.
Là, je me sens à l'abri, protégé par l'amour de tous les miens.	Pale, najisikia niko salama, nimelindwa na upendo wa watu wangu.	Pale, najisikia niko salama, nimelindwa na upendo wa watu wangu.
Les médecins ont prélevé le bloc cœur-poumons sur un patient en état de mort cérébrale pour le transplanter sur un malade atteint de mucoviscidose.	Badaktari baliondoa kizuizi cha mapafu ya moyo kutoka kwa mgonjwa aliyekufa mauti huti na kuiweka kwa mgonjwa aliye na mucoviscidose.	Badaktari baliondoa kizuizi cha mapafu ya moyo kutoka kwa mgonjwa aliyekufa mauti huti na kuiweka kwa mgonjwa aliye na mucoviscidose.
S'il vous plaît, laissez un message après le signal ou quelques caramels dans notre boîte aux lettres.	Tafadhali acha ujumbe baada ya ishara au barua kadhaa kwenye sanduku letu la barua.	Tafadhali acha ujumbe baada ya ishara au barua kadhaa kwenye sanduku letu la barua.
Je me suis brûlé le bout du doigt.	Nili jichoma mwisho wa kidole changu.	Nili jichoma mwisho wa kidole changu.
Amanda et Wolfgang choisirent Perpignan pour leur voyage de noces.	Amanda na Wolfgang walichagua Perpignan kwa safari yao ya kisha ndowa.	Amanda na Wolfgang walichagua Perpignan kwa safari yao ya kisha ndowa.
Cher journal, aujourd'hui j'ai rendu ma femme presque dingue avec la musique du groupe belge Telex. C'était très marrant.	Ndugu jarida, leo nilimfanya mke wangu karibu kutamani na muziki wa kundi la Ubelgiji Telex. Bilikuwa bya kuchekesha sana.	Ndugu jarida, leo nilimfanya mke wangu karibu kutamani na muziki wa kundi la Ubelgiji Telex. Bilikuwa bya kuchekesha sana.
Dix-sept matelots sur le coffre du mort... Yo ho ho ho et une bouteille de rhum !	Wasafiri kumi na saba kwenye sandungu mutu aliyekufa ... Yo ho ho ho na chupa moja ya rhum!	Wasafiri kumi na saba kwenye sandungu mutu aliyekufa ... Yo ho ho ho na chupa moja ya rhum!
Vue de la Lune, la Terre ressemble à une balle.	Ukiona kutoka kwa Mwezi, Dunia inafanana kama kabumbu.	Ukiona kutoka kwa Mwezi, Dunia inafanana kama kabumbu.
Qu'as-tu donc à perdre à l'inviter à un rencard ? Un peu de fierté sans doute ?	Uta poteza nini uki mu alika kwenye tarehe ya kuchumbiana? Ka majivuno kidogo, bila shaka?	Uta poteza nini uki mu alika kwenye tarehe ya kuchumbiana? Ka majivuno kidogo, bila shaka?
Les enfants étaient assis autour du feu de camp et écoutaient Gabriel qui racontait des histoires de fantômes.	Watoto walikaa kuzunguka moto wa kambi na kumsikiliza Gabriel, ambaye alikuwa akisimulia hadithi za roho.	Watoto walikaa kuzunguka moto wa kambi na kumsikiliza Gabriel, ambaye alikuwa akisimulia hadithi za roho.
Partout où tu iras, tu seras bienvenu.	Kila fasi yenye utaenda, utakaribishwa.	Kila fasi yenye utaenda, utakaribishwa.
C'est bien de pouvoir concentrer tout son esprit sur son travail. Mais on oublie complètement les gens autour de soi.	Ni vizuri kuweza kuzingatia akili yako yote kwenye kazi yako. Lakini tunasahau kabisa watu wanaotuzunguka.	Ni vizuri kuweza kuzingatia akili yako yote kwenye kazi yako. Lakini tunasahau kabisa watu wanaotuzunguka.
Excusez-moi, mais est-ce que vous pourriez vous déplacer un peu pour que je puisse m'asseoir ?	Nisamehe, lakini unaweza kusogea kidogo ili niweze kukaa chini?	Nisamehe, lakini unaweza kusogea kidogo ili niweze kukaa chini?
Découvrant que sa femme l'avait souvent trompé, de rage il veut la tuer, mais pas moyen de soulever le cercueil où il était depuis deux ans.	Kugundua kuwa bibi yake alikuwa akimudanganya mara mingi, alitaka kumuua kwa hasira, lakini hakuna njia ya kuinua sanduku yenye alikuwa ndani kwa miaka mbili.	Kugundua kuwa bibi yake alikuwa akimudanganya mara mingi, alitaka kumuua kwa hasira, lakini hakuna njia ya kuinua sanduku yenye alikuwa ndani kwa miaka mbili.
Ma soeur est une idiote.	Dada yangu ni mujinga kabisa.	Dada yangu ni mujinga kabisa.
Il essayait de ne pas trop penser à ses propres problèmes.	Alijaribu kuto ku fikiria kwa shida zake yepeke.	Alijaribu kuto ku fikiria kwa shida zake yepeke.
Vous devriez sortir ces animaux de la cage.	Unapaswa ku achilia inje hizi nyama kutoka kwa ngome.	Unapaswa ku achilia inje hizi nyama kutoka kwa ngome.
Cette région tropicale reçoit chaque année 1800 mm de pluie en moyenne.	Mkoa huu wa kitropiki hupokea wastani wa mvua ya mm 1,800 kila mwaka.	Mkoa huu wa kitropiki hupokea wastani wa mvua ya mm 1,800 kila mwaka.
Certains Palestiniens qui vivent prisonniers près du mur de séparation raciste en Cisjordanie ne peuvent même pas voir le lever du soleil de leurs maisons.	Wapalestina wengine ambao wanaishi wafungwa karibu na ukuta wa kujitenga wa ubaguzi wa rangi katika Ukingo wa Cisjordanie hawawezi hata kuona jua kutoka kwa nyumba zao.	Wapalestina wengine ambao wanaishi wafungwa karibu na ukuta wa kujitenga wa ubaguzi wa rangi katika Ukingo wa Cisjordanie hawawezi hata kuona jua kutoka kwa nyumba zao.
Punaise, ça faisait un moment que j'étais pas passé, qu'est-ce que ça bouge maintenant sur Tatoeba !	Mende, imekuwa ni muda tangu mimi kupita, ni nini inaendelea sasa kuhusu Tatoeba!	Mende, imekuwa ni muda tangu mimi kupita, ni nini inaendelea sasa kuhusu Tatoeba!
Je n'aurai pas cru une seule fois que Théo ne disait pas la vérité.	Ni singewahi amini hata mara moja kuwa Theo hakuwa anasema ukweli.	Ni singewahi amini hata mara moja kuwa Theo hakuwa anasema ukweli.
J'ai entendu dire qu'il ne fallait jamais épouser son premier amour.	Nilisikia kwamba haupaswi kamwe kuoa mupenzi wako wa kwanza.	Nilisikia kwamba haupaswi kamwe kuoa mupenzi wako wa kwanza.
Il discutait de la réunion d'hier soir avec son ami Jesse jackson.	Alikuwa akijadili mkutano wa jana usiku na rafiki yake Jesse Jackson.	Alikuwa akijadili mkutano wa jana usiku na rafiki yake Jesse Jackson.
Désolée pour le bordel !	Samahani kwa fujo!	Samahani kwa fujo!
N'ayez crainte de la vie. Croyez qu'elle vaut la peine d'être vécue et votre foi aidera à créer le fait.	Usiogope maisha. Amini inafaa kuishi na imani yako itasaidia kuonesha ukweli.	Usiogope maisha. Amini inafaa kuishi na imani yako itasaidia kuonesha ukweli.
Je suis désolé d'être tellement en retard. La réunion m'était complètement sortie de l'esprit.	Musamahani kwa kuchelewa sana. Nilikua nimesha sahau kabisa mukutano huo.	Musamahani kwa kuchelewa sana. Nilikua nimesha sahau kabisa mukutano huo.
La femme se marie dans l'espoir que son mari change, mais il ne change pas.	Muke anaolewa kwa tumaini kuwa bwanayake atabadilika, lakini hatabadilika.	Muke anaolewa kwa tumaini kuwa bwanayake atabadilika, lakini hatabadilika.
J'ai vu un homme bizarre avec des lunettes noires, tourner autour des toilettes pour dames.	Nilimwona mutu wa kushangaza akiwa na miwani ya mweusi aki zunguka zunguka kwa choo ya banamuke.	Nilimwona mutu wa kushangaza akiwa na miwani ya mweusi aki zunguka zunguka kwa choo ya banamuke.
Dieu lui a donné un visage magnifique et une voix merveilleuse.	Mungu alimupa uso muzuri na sauti ya ajabu.	Mungu alimupa uso muzuri na sauti ya ajabu.
Thomas m'a demandé que tu passes le voir tout de suite.	Thomas aliniuliza kama ukuye kumuona mara moja.	Thomas aliniuliza kama ukuye kumuona mara moja.
Elle se souvient de la voiture de Monsieur Black.	Yeye anakumbuka gari ya bwana Black.	Yeye anakumbuka gari ya bwana Black.
Ce procès traînait dans les délais, dans le lacis inextricable de la procédure, arrêté par les ambages d’un odieux avocat.	Kesi hii ilikuwa ikiendelea kwa wakati, katika wavuti ya utaratibu usio na kipimo, iliyokamatwa na walezi wa wakili mbaya.	Kesi hii ilikuwa ikiendelea kwa wakati, katika wavuti ya utaratibu usio na kipimo, iliyokamatwa na walezi wa wakili mbaya.
Désolé, mais j'ai déjà une religion, et je ne m'en sers pas beaucoup.	Samahani, lakini tayari nina dini, na siitumie sana.	Samahani, lakini tayari nina dini, na siitumie sana.
Je n'ai pas écouté ce que tu me disais, à vrai dire je m'en cogne comme de mes premiers dragibus.	Sikusikiliza kile ulichoniambia, kwa kweli naingia ndani kama buruta wangu wa kwanza.	Sikusikiliza kile ulichoniambia, kwa kweli naingia ndani kama buruta wangu wa kwanza.
Dean mange vraiment beaucoup, n'est-ce pas ?	Dean anakulaka sana, sindiyo?	Dean anakulaka sana, sindiyo?
Aucune clé n'est nécessaire, on tape un code.	Hakuna ufunguo wa muhimu, Mutu ana andika tu numberi fulani.	Hakuna ufunguo wa muhimu, Mutu ana andika tu numberi fulani.
Nous sommes prêts à tout pour envoyer notre enfant dans une bonne université.	Tuko tayari kufanya chochote ili tutume mutoto wetu kwa chuo kikuu kizuri.	Tuko tayari kufanya chochote ili tutume mutoto wetu kwa chuo kikuu kizuri.
« De la sorte, il passa un an et dix mois, après quoi, sur les conseils des médecins, on commença à le sortir et une belle charrette à bœufs fut construite grâce à l'ingéniosité de Jean Denyau. »	«Kwa namna hii, alipitisha mwaka moja na miezi kumi, baada ya hapo, kwa ushauri ya madaktari, wakaanza kumtoa inje na charette ya ngombe ilijengwa kwa ujuzii ya Jean Denyau».	«Kwa namna hii, alipitisha mwaka moja na miezi kumi, baada ya hapo, kwa ushauri ya madaktari, wakaanza kumtoa inje na charette ya ngombe ilijengwa kwa ujuzii ya Jean Denyau».
Ce n'est pas une maison de fous. C'est une clinique pour les personnes mentalement instables.	Hii sio nyumba ya wendawazimu. Ni kliniki ya watu wenye shida ya akili.	Hii sio nyumba ya wendawazimu. Ni kliniki ya watu wenye shida ya akili.
Le hall d'exposition de notre société a été un succès auprès des dames.	Ukumbi wa maonyesho ya kampuni yetu ulifanikiwa mbele ya banamuke.	Ukumbi wa maonyesho ya kampuni yetu ulifanikiwa mbele ya banamuke.
J'y fonde une cité ; je l'appelle Ilion : / l'heureuse colonie applaudit à son nom. / Je l'invite à chérir sa demeure nouvelle, / à bâtir de ses mains sa haute citadelle.	Nilijenga muji; ninaiita Ilion: / Ukoloni yenye furaha ikamupigia makofi kwa jina yayo. / Namwalika kupenda makao yake mupya, / ajenge muji wake mupya ya mukubwa.	Nilijenga muji; ninaiita Ilion: / Ukoloni yenye furaha ikamupigia makofi kwa jina yayo. / Namwalika kupenda makao yake mupya, / ajenge muji wake mupya ya mukubwa.
Allô ! Qui parle ? Tu ne me reconnais pas ? C'est moi, Aldo !	Allo! Ni nani anaongea? Haunikumbuke? Ni miye, Aldo!	Allo! Ni nani anaongea? Haunikumbuke? Ni miye, Aldo!
Cherchez et vous trouverez. Ce qui n'est pas cherché reste caché.	Tafuta na utapata. Kile kisicho tafutwa kina baki kimejificha.	Tafuta na utapata. Kile kisicho tafutwa kina baki kimejificha.
Si tu vas épouser un gars qui vit en Italie, tu devrais apprendre l'italien.	Ikiwa utaoa mwanaume anayeishi nchini Italia, unapaswa kujifunza Kiitaliano.	Ikiwa utaoa mwanaume anayeishi nchini Italia, unapaswa kujifunza Kiitaliano.
Lorsque vous voulez que ceux qui travaillent soient contents, vous devez leur payer un salaire suffisant.	Wakati unataka wafanya kazi wafurahi, unapashwa walipa mshaara wa kutosha.	Wakati unataka wafanya kazi wafurahi, unapashwa walipa mshaara wa kutosha.
Loin de reléguer les arts dans la classe des superfluités utiles, il faut les mettre au nombre des biens les plus précieux et les plus importants de la société humaine.	Mbali na kupeana sanaa kwa darasa la ubora muzuri, lazima zijumuishwe kati ya bizaa za samani na muhimu za jamii ya wanadamu.	Mbali na kupeana sanaa kwa darasa la ubora muzuri, lazima zijumuishwe kati ya bizaa za samani na muhimu za jamii ya wanadamu.
Il ne faut pas jeter par terre ni os, ni coque d'œuf, ni pelure d'aucun fruit, ni autre chose qui ne se mange point: il est plus séant de les poser sur le bord de l'assiette.	Usitupe ku budongo mufupa, au liganda ya mayai, au liganda ya matunda yoyote, au kitu kingine chochote ambacho hakiwezi kuliwa: ni vizuri kuziweka kwenye mwisho wa sahani.	Usitupe ku budongo mufupa, au liganda ya mayai, au liganda ya matunda yoyote, au kitu kingine chochote ambacho hakiwezi kuliwa: ni vizuri kuziweka kwenye mwisho wa sahani.
Mon copain ressemble à ta copine.	Mupenzi wangu anafanana kama mupenzi wako.	Mupenzi wangu anafanana kama mupenzi wako.
Les femmes étaient terrifiées, et le cœur de Nathan battait à se briser dans la poitrine, tandis qu'il écoutait les cris douloureux d'un être qu'il avait jadis si tendrement aimé qu'il chérissait encore.	Banamuke balikuwa baki ogopa, na moyo wa Nathan ulikuwa unagonga mu kifua yake saa ye inata pasuka, wakati akisikiza kilio kikali cha mutu ambaye alikuwa akimpenda sana na mwenye bado alikuwa angali nampenda.	Banamuke balikuwa baki ogopa, na moyo wa Nathan ulikuwa unagonga mu kifua yake saa ye inata pasuka, wakati akisikiza kilio kikali cha mutu ambaye alikuwa akimpenda sana na mwenye bado alikuwa angali nampenda.
Parle à tout le monde dans le langage de l'amour. N'élève pas la voix. Ne jure pas. Ne fais pas de vilaines choses. Ne cause pas de larmes. Calme les autres et montre de la gentillesse.	Ongea na kila mutu kwa lugha ya upendo. Usipandishe sauti. Usilape. Usifanye vitu vibaya. Usi sababishe machozi. Tuliza wengine na uonyeshe roho mzuri.	Ongea na kila mutu kwa lugha ya upendo. Usipandishe sauti. Usilape. Usifanye vitu vibaya. Usi sababishe machozi. Tuliza wengine na uonyeshe roho mzuri.
Vous ne voulez pas vous marier non plus, exact ?	Hautaki kuolewa tena, sindiyo?	Hautaki kuolewa tena, sindiyo?
Tu ne penses pas que les cookies qu'on a faits aujourd'hui sont les meilleurs de tous ?	Je! Hauwaze kama kuki zenye tumetengeneza leo niza muzuri zaidi ya zote?	Je! Hauwaze kama kuki zenye tumetengeneza leo niza muzuri zaidi ya zote?
Une femme a apporté au photographe une photo de son mari décédé, prise alors qu'il portait un chapeau.	Mwanamuke moja alimuletea mupiga picha, picha ya mume wake aliyekufa, aliyochukuliwa wakati alikuwa amevaa kofia.	Mwanamuke moja alimuletea mupiga picha, picha ya mume wake aliyekufa, aliyochukuliwa wakati alikuwa amevaa kofia.
Salut les gars! Nous commençons une autre vidéo sur YouTube.	Jambo wazee! Tunaanza video ingine ku YouTube.	Jambo wazee! Tunaanza video ingine ku YouTube.
Le site est d'ores et déjà disponible en sept langues et nous espérons pouvoir introduire de nouvelles options dans les prochaines semaines.	Site tayari inapatikana katika lugha saba na tunatumai kuwa na uwezo wa kuanzisha chaguzi mupya katika wiki zijazo.	Site tayari inapatikana katika lugha saba na tunatumai kuwa na uwezo wa kuanzisha chaguzi mupya katika wiki zijazo.
Aux États-Unis d'Amérique, vingt millions de nouveaux emplois ont été créés dans les deux dernières décennies, la plupart d'entre eux dans le secteur des services.	Kule Amerike, kazi mupya milioni makumi mbili zimeundwa katika miaka makumi mbili zilizo pita, za mingi kati yazo ziko kwenye sekta ya huduma.	Kule Amerike, kazi mupya milioni makumi mbili zimeundwa katika miaka makumi mbili zilizo pita, za mingi kati yazo ziko kwenye sekta ya huduma.
"Salut! Je m'appelle Nick. Content, de te –"" – ""J'ai un copain."	"Jambo! Jina yangu ni Nick. Furaha, yaku-""-""niko na muchumba."	"Jambo! Jina yangu ni Nick. Furaha, yaku-""-""niko na muchumba."
Qu'est-ce que tu as offert à Mike pour son anniversaire ?	Ulimupatia Mike nini kwa siku yake ya kuzaliwa?	Ulimupatia Mike nini kwa siku yake ya kuzaliwa?
Je suis désolé d'annuler le rendez-vous à la dernière minute.	Samahani kwa kuvunja mukutano kwa dakika ya mwisho.	Samahani kwa kuvunja mukutano kwa dakika ya mwisho.
Tu manques de suite dans les idées.	Unakosa mwelekeo kwa maelezo.	Unakosa mwelekeo kwa maelezo.
La bouffe est prête !	Chakula kiko tayari!	Chakula kiko tayari!
Chaque fois qu'un tel échec survient dans un autre service, je suis tenté de les traiter d'idiots, mais alors, des gens comme vous se présentent pour montrer ce à quoi la vraie bêtise ressemble.	Wakati wowote kutofaulu kama hiyo inapotokea katika huduma ingine, mina jaribiwaka kuwaita wapumbafu, lakini basi watu kama nyiye munajitokeza ili kuonyesha ujinga wa kweli vile una fanana.	Wakati wowote kutofaulu kama hiyo inapotokea katika huduma ingine, mina jaribiwaka kuwaita wapumbafu, lakini basi watu kama nyiye munajitokeza ili kuonyesha ujinga wa kweli vile una fanana.
Hé, gamin ! Ici, c'est notre territoire !	Heh, mutoto! Apa, ni eneo yetu!	Heh, mutoto! Apa, ni eneo yetu!
Je n'ai jamais joué au golf, mais je crois que je vais essayer.	Sijawahi kucheza golf, lakini naamini nitajaribu.	Sijawahi kucheza golf, lakini naamini nitajaribu.
Au cas où tu aies l'intention de m'envoyer de l'argent, alors ne m'en envoie pas trop peu.	Ikiwa unakusudia kunitumia pesa, basi usinitumie kidogo sana.	Ikiwa unakusudia kunitumia pesa, basi usinitumie kidogo sana.
Ils sont en train de dispenser l'amour avec les mains sales.	Wanasambaza upendo wakiwa na mikono michafu.	Wanasambaza upendo wakiwa na mikono michafu.
Pour avoir quelques d'informations sur les problèmes économiques du Japon, vous ne trouverez aucun livre très utile.	Kwa habari fulani juu ya shida za kiuchumi za Japani, hautapata kitabu chochote muhimu sana.	Kwa habari fulani juu ya shida za kiuchumi za Japani, hautapata kitabu chochote muhimu sana.
Je me suis rendu dans une nouvelle épicerie qui a ouvert dans le quartier et ai reçu un don de pain gratuit.	Nilienda kwenye duka jipya la mboga ambalo lilifunguliwa katika kitongoji na kupokea zawadi ya mkate wa bure.	Nilienda kwenye duka jipya la mboga ambalo lilifunguliwa katika kitongoji na kupokea zawadi ya mkate wa bure.
Je n'ai pas vu Rick depuis qu'il est rentré de Nouvelle-Zélande.	Sijamuona Rick tangu arudi kutoka Nouvelle-Zélande.	Sijamuona Rick tangu arudi kutoka Nouvelle-Zélande.
Eh ben, tant mieux! Ce sera d'une pierre deux coups!	Kweli, ni muzuri zaidi! Itauwa ndege mbili kwa jiwe moja!	Kweli, ni muzuri zaidi! Itauwa ndege mbili kwa jiwe moja!
Je dois reconnaître, que j’aurai rien compris sans sous-titres.	Lazima nikubali, kwamba singekuwa nimeelewa chochote bila maandiko.	Lazima nikubali, kwamba singekuwa nimeelewa chochote bila maandiko.
Eh ben voyons ! Et puis quoi encore ?	Kweli, acha tuone! Kisha nini ingine?	Kweli, acha tuone! Kisha nini ingine?
